Title,GenreID,Runtime,IMDBScore,Language,Premiere_Date
Roxanne Roxanne,G15,98,6.2,English,23-03-2018
Someone Great,G17,92,6.2,English,19-04-2019
Spenser Confidential,G5,111,6.2,English,06-03-2020
The Land of Steady Habits,G7,98,6.2,English,14-09-2018
The Rachel Divide,G1,104,6.2,English,27-04-2018
Voyuer,G1,95,6.2,English,01-12-2017
Win It All,G6,88,6.2,English,07-04-2017
1922,G9,102,6.3,English,20-10-2017
A Tale of Two Kitchens,G1,30,6.3,English,22-05-2019
Alex Strangelove,G17,99,6.3,English,08-06-2018
Apostle,G9,129,6.3,English,12-10-2018
Benji,G7,87,6.3,English,16-03-2018
Bright,G7,117,6.3,English,22-12-2017
Cargo,G7,104,6.3,English,18-05-2018
Concrete Cowboy,G7,111,6.3,English,02-04-2021
Feel the Beat,G6,107,6.3,English,19-06-2020
Get the Goat,G6,97,6.3,Portuguese,18-03-2021
I Am Not an Easy Man,G17,98,6.3,French,13-04-2018
June & Kopi,G7,90,6.3,Indonesian,28-01-2021
Music Teacher,G7,101,6.3,Hindi,19-04-2019
Nail Bomber: Manhunt,G1,72,6.3,English,26-05-2021
Notes for My Son,G7,83,6.3,Spanish,24-11-2020
Polar,G5,118,6.3,English,25-01-2019
Porta dos Fundos: The Last Hangover,G6,44,6.3,Portuguese,21-12-2018
Sand Castle,G5,113,6.3,English,21-04-2017
Shimmer Lake,G2,86,6.3,English,09-06-2017
Spectral,G3,108,6.3,English,09-12-2016
The Babysitter,G6,85,6.3,English,13-10-2017
The Discovery,G3,102,6.3,English,31-03-2017
The Forest of Love,G7,151,6.3,Japanese,11-10-2019
The Laundromat,G6,98,6.3,English,18-10-2019
The Legend of Cocaine Island,G1,87,6.3,English,29-03-2019
The Outsider,G2,120,6.3,English,09-03-2018
Time to Hunt,G2,134,6.3,Korean,23-04-2020
To All the Boys: Always and Forever,G17,109,6.3,English,12-02-2021
Travis Scott: Look Mom I Can Fly,G1,85,6.3,English,28-08-2019
Uncorked,G7,103,6.3,English,27-03-2020
Anelka: Misunderstood,G1,94,6.4,French,05-08-2020
"Ariana Grande: Excuse Me, I Love You",G16,97,6.4,English,21-12-2020
ARQ,G3,88,6.4,English,16-09-2016
Birders,G1,37,6.4,English,25-09-2019
Como Caído del Cielo,G8,112,6.4,Spanish,24-12-2019
First Match,G7,102,6.4,English,30-03-2018
Fractured,G2,100,6.4,English,11-10-2019
Irreplaceable You,G7,96,6.4,English,16-02-2018
Isi & Ossi,G17,113,6.4,German,14-02-2020
John Was Trying to Contact Aliens,G1,16,6.4,English,20-08-2020
Layla Majnun,G10,119,6.4,Indonesian,11-02-2021
Murder to Mercy: The Cyntoia Brown Story,G1,97,6.4,English,29-04-2020
My Own Man,G1,81,6.4,English,13-12-2014
Nappily Ever After,G6,98,6.4,English,21-09-2018
Over the Moon,G11,95,6.4,English,23-10-2020
Street Flow,G7,96,6.4,French,12-10-2019
Strong Island,G1,107,6.4,English,15-09-2017
Sturgill Simpson Presents: Sound & Fury,G11,41,6.4,English,27-09-2019
Take Your Pills,G1,87,6.4,English,16-03-2018
The Heartbreak Club,G6,101,6.4,Indonesian,14-01-2021
The Mars Generation,G1,97,6.4,English,05-05-2017
The Occupant,G2,103,6.4,Spanish,25-03-2020
The Willoughbys,G11,90,6.4,English,22-04-2020
Triple Frontier,G2,125,6.4,English,13-03-2019
Two Catalonias,G1,116,6.4,Spanish,28-09-2018
Walk. Ride. Rodeo.,G7,99,6.4,English,08-03-2019
Wheelman,G2,82,6.4,English,20-10-2017
